0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:01 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:02 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=2&page=1 HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:02 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:03 +0900] "GET /MySQLProject/Board/board_delete.jsp?idx=2&page=1 HTTP/1.1" 200 1278
